成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
七劍IH, 154, 13188581, 0, 0, 0, 13188581, 0, 0, 0, 15469, 東平國, 七劍
七劍I睿, 74, 13144976, 0, 9870, 0, 16184307, 0, 9870, 0, 16612, 東平國, 七劍
七劍l狀, 38, 12838173, 0, 11684, 0, 18566041, 0, 12034, 0, 17693, 東平國, 七劍
左芸, 119, 12815213, 0, 2388, 0, 12815213, 0, 2388, 0, 17440, 東平國, 梟
鹹酥雞, 28, 12657047, 0, 4879, 0, 16546689, 0, 4879, 0, 14229, 東平國, 賊
呆丨野郎, 70, 12511194, 0, 5244, 0, 15921839, 0, 5244, 0, 19016, 東平國, 七劍
七劍I帥, 48, 12504642, 0, 7715, 0, 16751299, 0, 8065, 0, 16690, 東平國, 七劍
速農丨嘴囝, 62, 12339249, 0, 4830, 0, 15217223, 0, 4830, 0, 14376, 東平國, 速農
一粒米, 58, 12238326, 0, 6814, 0, 15395113, 0, 7164, 0, 13423, 東平國, 天農
花丨咖哩餅, 67, 12022227, 0, 8505, 0, 15026527, 0, 8855, 0, 13746, 東平國, 天農
正版周姐轮, 106, 11806207, 0, 3796, 0, 12579811, 0, 3796, 0, 10700, 東平國, 天農
農民丨聖祈, 92, 11791144, 0, 7161, 0, 15435907, 0, 7161, 0, 16652, 東平國, 賊
路過的生命體, 16, 11475218, 0, 3780, 0, 11475218, 0, 3780, 0, 17406, 東平國, 梟
低調丨漫天, 108, 11463054, 0, 5946, 0, 13522045, 0, 5946, 0, 12953, 東平國, 速農
管之軼, 41, 11435222, 0, 9297, 0, 15003248, 0, 9297, 0, 14613, 東平國, 天農
霸道龍王, 123, 11230384, 0, 4836, 0, 13113697, 0, 5186, 0, 14143, 東平國, 速農
速農丨基囝, 33, 10998836, 0, 13012, 0, 15805550, 0, 13012, 0, 14540, 東平國, 速農
雙子, 21, 10917185, 0, 12433, 0, 15577025, 0, 12783, 0, 16870, 東平國, 速農
公益金牛, 56, 10900698, 0, 12110, 0, 16493453, 0, 12110, 0, 13643, 東平國, 速農
七劍l書, 113, 10748579, 0, 5498, 0, 14469554, 0, 5498, 0, 16300, 東平國, 七劍
七劍I雞, 8, 10717578, 0, 8487, 0, 14181673, 0, 8487, 0, 17753, 東平國, 七劍
呆丨道友, 4, 10641786, 0, 8378, 0, 15699678, 0, 8378, 0, 16603, 東平國, 七劍
夜丨kh, 83, 10469420, 0, 4451, 0, 10508397, 0, 4451, 0, 16210, 東平國, 梟
黃雀先生, 22, 10354663, 0, 9378, 0, 13537838, 0, 9728, 0, 17349, 東平國, 七劍
